Artist Name,Genre,Popularity,Followers,ID,URI,Followers to Popularity (%),Number of Genres,Genres,Years Active
Evanescence,alternative,76,4929200,5nGIFgo0shDenQYSE0Sn7c,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,6485789.47,1,alternative metal,Unknown
Ms. Lauryn Hill,alternative,75,3131626,2Mu5NfyYm8n5iTomuKAEHl,spotify:artist:2Mu5NfyYm8n5iTomuKAEHl,4175501.33,6,"alternative r&b, conscious hip hop, hip hop, neo soul, new jersey rap, r&b",Unknown
Muse,alternative,77,8023846,12Chz98pHFMPJEknJQMWvI,spotify:artist:12Chz98pHFMPJEknJQMWvI,10420579.22,4,"alternative rock, modern rock, permanent wave, rock",Unknown
A Day To Remember,alternative,71,2398547,4NiJW4q9ichVqL1aUsgGAN,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,3378235.21,5,"alternative metal, metalcore, neon pop punk, pop punk, screamo",Unknown
Ozzy Osbourne,alternative,73,5862393,6ZLTlhejhndI4Rh53vYhrY,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,8030675.34,8,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock",Unknown
Green Day,punk-rock,83,15745704,7oPftvlwr6VrsViSDV7fJY,spotify:artist:7oPftvlwr6VrsViSDV7fJY,18970727.71,4,"modern rock, permanent wave, punk, rock",Unknown
My Chemical Romance,punk-rock,81,9107725,7FBcuc1gsnv6Y1nwFtNRCb,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,11244104.94,5,"emo, modern rock, pop punk, pov: indie, rock",Unknown
Paramore,punk-rock,80,8915864,74XFHRwlV6OrjEM0A2NCMF,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,11144830.0,7,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",Unknown
The Smiths,punk-rock,80,6586533,3yY2gUcIsjMr8hjo51PoJ8,spotify:artist:3yY2gUcIsjMr8hjo51PoJ8,8233166.25,5,"madchester, new wave, permanent wave, rock, uk post-punk",Unknown
blink-182,punk-rock,79,8632957,6FBDaR13swtiWwGhX1WQsP,spotify:artist:6FBDaR13swtiWwGhX1WQsP,10927793.67,6,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",Unknown
Pierce The Veil,punk-rock,75,3254179,4iJLPqClelZOBCBifm8Fzv,spotify:artist:4iJLPqClelZOBCBifm8Fzv,4338905.33,3,"modern rock, pop punk, screamo",Unknown
